udi,id_produto,tipo,temperatura_ar_k,temperatura_processo_k,velocidade_rotacao_rpm,torque_nm,desgaste_ferramenta_min,falha_maquina,falha_twf,falha_hdf,falha_pwf,falha_osf,falha_rnf,ratio_temp,flag_sobrecarga_termica,potencia_estimada
1,M14860,M,298.1,308.6,1551.0,42.8,0,0,0,0,0,0,0,0.9659753695204946,0,66382.79999999999
2,L47181,L,298.2,308.7,1408.0,46.3,3,0,0,0,0,0,0,0.9659863914286155,0,65190.399999999994
3,L47182,L,298.1,308.5,1498.0,49.4,5,0,0,0,0,0,0,0.9662884895744296,0,74001.2
5,L47184,L,298.2,308.7,1408.0,40.0,9,0,0,0,0,0,0,0.9659863914286155,0,56320.0
6,M14865,M,298.1,308.6,1425.0,41.9,11,0,0,0,0,0,0,0.9659753695204946,0,59707.5
7,L47186,L,298.1,308.6,1558.0,42.4,14,0,0,0,0,0,0,0.9659753695204946,0,66059.2
8,L47187,L,298.1,308.6,1527.0,40.2,16,0,0,0,0,0,0,0.9659753695204946,0,61385.4
9,M14868,M,298.3,308.7,1667.0,28.6,18,0,0,0,0,0,0,0.9663103305270155,0,47676.200000000004
10,M14869,M,298.5,309.0,1741.0,28.0,21,0,0,0,0,0,0,0.9660194143494517,0,48748.0
11,H29424,H,298.4,308.9,1782.0,23.9,24,0,0,0,0,0,0,0.9660084138361658,0,42589.799999999996
12,H29425,H,298.6,309.1,1423.0,44.3,29,0,0,0,0,0,0,0.966030407744968,0,63038.899999999994
13,M14872,M,298.6,309.1,1339.0,51.1,34,0,0,0,0,0,0,0.966030407744968,0,68422.90000000001
14,M14873,M,298.6,309.2,1742.0,30.0,37,0,0,0,0,0,0,0.965717978765466,0,52260.0
16,L47195,L,298.6,309.2,1542.0,48.4,42,0,0,0,0,0,0,0.965717978765466,0,74632.8
17,M14876,M,298.6,309.2,1311.0,46.6,44,0,0,0,0,0,0,0.965717978765466,0,61092.6
18,M14877,M,298.7,309.2,1410.0,45.6,47,0,0,0,0,0,0,0.9660413940296203,0,64296.0
19,H29432,H,298.8,309.2,1306.0,54.5,50,0,0,0,0,0,0,0.966364809293775,0,71177.0
20,M14879,M,298.9,309.3,1632.0,32.5,55,0,0,0,0,0,0,0.9663756839108447,0,53040.0
21,H29434,H,298.9,309.3,1375.0,42.7,58,0,0,0,0,0,0,0.9663756839108447,0,58712.50000000001
22,L47201,L,298.8,309.3,1450.0,44.8,63,0,0,0,0,0,0,0.9660523732103059,0,64959.99999999999
23,M14882,M,298.9,309.3,1581.0,30.7,65,0,0,0,0,0,0,0.9663756839108447,0,48536.7
24,L47203,L,299.0,309.4,1758.0,25.7,68,0,0,0,0,0,0,0.9663865514984276,0,45180.6
25,M14884,M,299.0,309.4,1561.0,37.3,70,0,0,0,0,0,0,0.9663865514984276,0,58225.299999999996
26,L47205,L,299.0,309.5,1861.0,23.3,73,0,0,0,0,0,0,0.9660743102873205,0,43361.3
27,L47206,L,299.1,309.5,1512.0,39.0,75,0,0,0,0,0,0,0.9663974120633364,0,58968.0
28,H29441,H,299.1,309.4,1811.0,24.6,77,0,0,0,0,0,0,0.9667097577029421,0,44550.600000000006
29,L47208,L,299.1,309.4,1439.0,44.2,82,0,0,0,0,0,0,0.9667097577029421,0,63603.8
31,M14890,M,299.1,309.5,1339.0,48.2,86,0,0,0,0,0,0,0.9663974120633364,0,64539.8
33,L47212,L,299.0,309.4,1419.0,48.3,91,0,0,0,0,0,0,0.9663865514984276,0,68537.7
35,M14894,M,298.8,309.1,1559.0,34.7,95,0,0,0,0,0,0,0.9666774475358219,0,54097.3
37,M14896,M,298.9,309.2,1581.0,36.7,101,0,0,0,0,0,0,0.9666882245579294,0,58022.700000000004
38,L47217,L,298.8,309.1,1439.0,39.2,104,0,0,0,0,0,0,0.9666774475358219,0,56408.8
39,H29452,H,298.9,309.2,1379.0,50.7,106,0,0,0,0,0,0,0.9666882245579294,0,69915.3
41,L47220,L,298.8,309.1,1362.0,45.4,113,0,0,0,0,0,0,0.9666774475358219,0,61834.799999999996
42,L47221,L,298.8,309.1,1368.0,50.8,115,0,0,0,0,0,0,0.9666774475358219,0,69494.4
43,M14902,M,298.8,309.1,1368.0,49.1,117,0,0,0,0,0,0,0.9666774475358219,0,67168.8
44,H29457,H,298.8,309.2,1372.0,48.5,120,0,0,0,0,0,0,0.966364809293775,0,66542.0
45,M14904,M,298.8,309.1,1472.0,47.5,125,0,0,0,0,0,0,0.9666774475358219,0,69920.0
46,L47225,L,298.8,309.1,1489.0,49.1,128,0,0,0,0,0,0,0.9666774475358219,0,73109.90000000001
47,M14906,M,298.7,309.0,1843.0,25.8,130,0,0,0,0,0,0,0.9666666635382956,0,47549.4
48,L47227,L,298.8,309.1,1418.0,46.3,133,0,0,0,0,0,0,0.9666774475358219,0,65653.4
49,H29462,H,298.8,309.2,1425.0,53.9,135,0,0,0,0,0,0,0.966364809293775,0,76807.5
50,M14909,M,298.9,309.2,1412.0,44.1,140,0,0,0,0,0,0,0.9666882245579294,0,62269.200000000004
51,L47230,L,298.9,309.1,2861.0,4.6,143,1,0,0,1,0,0,0.9670009674312487,0,13160.599999999999
52,L47231,L,298.9,309.1,1383.0,54.9,145,0,0,0,0,0,0,0.9670009674312487,0,75926.7
53,H29466,H,298.8,309.0,1497.0,43.8,147,0,0,0,0,0,0,0.9669902881327176,0,65568.59999999999
54,L47233,L,298.7,309.0,1565.0,35.1,152,0,0,0,0,0,0,0.9666666635382956,0,54931.5
55,L47234,L,298.7,309.0,1691.0,30.1,154,0,0,0,0,0,0,0.9666666635382956,0,50899.100000000006
56,L47235,L,298.8,309.1,1512.0,40.7,156,0,0,0,0,0,0,0.9666774475358219,0,61538.4
57,L47236,L,298.8,309.1,1477.0,42.4,158,0,0,0,0,0,0,0.9666774475358219,0,62624.799999999996
58,L47237,L,298.8,309.1,1513.0,40.3,160,0,0,0,0,0,0,0.9666774475358219,0,60973.899999999994
59,M14918,M,298.8,309.0,1661.0,29.5,162,0,0,0,0,0,0,0.9669902881327176,0,48999.5
60,L47239,L,298.8,309.1,1378.0,54.4,165,0,0,0,0,0,0,0.9666774475358219,0,74963.2
61,L47240,L,298.8,309.1,1393.0,52.6,167,0,0,0,0,0,0,0.9666774475358219,0,73271.8
62,M14921,M,298.8,309.0,1592.0,38.2,169,0,0,0,0,0,0,0.9669902881327176,0,60814.4
63,L47242,L,298.8,309.0,1829.0,22.9,172,0,0,0,0,0,0,0.9669902881327176,0,41884.1
64,M14923,M,298.9,309.0,1812.0,25.9,174,0,0,0,0,0,0,0.9673139127271394,0,46930.799999999996
65,L47244,L,299.0,309.1,1523.0,38.6,177,0,0,0,0,0,0,0.9673244873266759,0,58787.8
66,L47245,L,299.0,309.1,1394.0,45.1,179,0,0,0,0,0,0,0.9673244873266759,0,62869.4
67,M14926,M,298.9,308.9,1679.0,28.7,181,0,0,0,0,0,0,0.9676270606421915,0,48187.299999999996
68,H29481,H,298.8,308.9,1466.0,44.1,184,0,0,0,0,0,0,0.9673033312809864,0,64650.6
69,L47248,L,298.8,308.9,1527.0,32.4,189,0,0,0,0,0,0,0.9673033312809864,0,49474.799999999996
70,L47249,L,298.9,309.0,1410.0,65.7,191,1,0,0,1,1,0,0.9673139127271394,0,92637.0
71,M14930,M,298.9,309.0,1924.0,22.6,193,0,0,0,0,0,0,0.9673139127271394,0,43482.4
72,L47251,L,298.9,309.1,1452.0,45.5,196,0,0,0,0,0,0,0.9670009674312487,0,66066.0
73,L47252,L,298.9,309.1,1369.0,44.4,198,0,0,0,0,0,0,0.9670009674312487,0,60783.6
74,L47253,L,299.0,309.1,1592.0,35.0,200,0,0,0,0,0,0,0.9673244873266759,0,55720.0
75,L47254,L,298.9,309.0,1601.0,32.3,202,0,0,0,0,0,0,0.9673139127271394,0,51712.299999999996
76,L47255,L,298.8,308.9,1379.0,46.7,204,0,0,0,0,0,0,0.9673033312809864,0,64399.3
